#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
She had already left when I arrived.	Sie war schon gegangen, als ich ankam.	B1 B1-U01 B1-U01-L3
I had never seen him before.	Ich hatte ihn vorher noch nie gesehen.	B1 B1-U01 B1-U01-L3
first / then / afterwards / finally	zuerst / dann / danach / schließlich	B1 B1-U01 B1-U01-L3
meanwhile, by now	inzwischen	B1 B1-U01 B1-U01-L3
to apply / the acceptance	sich bewerben / die Zusage	B1 B1-U01 B1-U01-L3
to quit (a job) / to earn	kündigen / verdienen	B1 B1-U01 B1-U01-L3
Nobody expected an extraordinary life from her.	Niemand erwartete von ihr ein außergewöhnliches Leben.	B1 B1-U01 B1-U01-L4
The turning point came by coincidence.	Der Wendepunkt kam durch einen Zufall.	B1 B1-U01 B1-U01-L4
She understood what that meant.	Sie verstand, was das bedeutete.	B1 B1-U01 B1-U01-L4
It's never too late to start something.	Es ist nie zu spät, etwas anzufangen.	B1 B1-U01 B1-U01-L4
I stayed silent because I was afraid of mistakes.	Ich habe geschwiegen, weil ich Angst vor Fehlern hatte.	B1 B1-U01 B1-U01-L4
patience / to advise	die Geduld / raten	B1 B1-U01 B1-U01-L4
She grew up in a village and moved to the city at 18.	Sie wuchs in einem Dorf auf und zog mit 18 in die Stadt um.	B1 B1-U01 B1-U01-L4
Where did you grow up? Have you ever moved?	Wo bist du aufgewachsen? Bist du schon mal umgezogen?	B1 B1-U01 B1-U01-L4
the appearance	das Aussehen	B1 B1-U02
reliable / helpful	zuverlässig / hilfsbereit	B1 B1-U02
shy / reserved	schüchtern / zurückhaltend	B1 B1-U02
generous / tidy	großzügig / ordentlich	B1 B1-U02
the object / the device	der Gegenstand / das Gerät	B1 B1-U02
made of wood / fabric	aus Holz / aus Stoff	B1 B1-U02
round / flat / pointed	rund / flach / spitz	B1 B1-U02
to trust someone	jemandem vertrauen	B1 B1-U02
to contradict someone	jemandem widersprechen	B1 B1-U02
That's the man who lives next door.	Das ist der Mann, der nebenan wohnt.	B1 B1-U02 B1-U02-L1
the colleague you met yesterday	die Kollegin, die du gestern kennengelernt hast	B1 B1-U02 B1-U02-L1
The book that's on the table is mine.	Das Buch, das auf dem Tisch liegt, gehört mir.	B1 B1-U02 B1-U02-L1
The people we invited are coming later.	Die Leute, die wir eingeladen haben, kommen später.	B1 B1-U02 B1-U02-L1
the film we saw	der Film, den wir gesehen haben	B1 B1-U02 B1-U02-L1
She's the best boss I've ever had.	Sie ist die beste Chefin, die ich je hatte.	B1 B1-U02 B1-U02-L1
Which one do you mean? – The one at the table.	Welche meinst du? – Die, die am Tisch sitzt.	B1 B1-U02 B1-U02-L1
He's rather shy.	Er ist eher schüchtern.	B1 B1-U02 B1-U02-L1
She seems very calm.	Sie wirkt sehr ruhig.	B1 B1-U02 B1-U02-L1
reliable / helpful / ambitious	zuverlässig / hilfsbereit / ehrgeizig	B1 B1-U02 B1-U02-L1
slim / sturdy / sporty	schlank / kräftig / sportlich	B1 B1-U02 B1-U02-L1
curious / patient-natured (relaxed)	neugierig / gelassen	B1 B1-U02 B1-U02-L1
He looks like a student.	Er sieht aus wie ein Student.	B1 B1-U02 B1-U02-L1
the appearance / the beard	das Aussehen / der Bart	B1 B1-U02 B1-U02-L1
the colleague I work with	der Kollege, mit dem ich arbeite	B1 B1-U02 B1-U02-L2
The company I work for is small.	Die Firma, bei der ich arbeite, ist klein.	B1 B1-U02 B1-U02-L2
the people I help	die Leute, denen ich helfe	B1 B1-U02 B1-U02-L2
the man I lent my bike to	der Mann, dem ich mein Fahrrad geliehen habe	B1 B1-U02 B1-U02-L2
the city I grew up in	die Stadt, in der ich aufgewachsen bin	B1 B1-U02 B1-U02-L2
the answer I'm waiting for	die Antwort, auf die ich warte	B1 B1-U02 B1-U02-L2
I spoke to a colleague.	Ich habe mit einem Kollegen gesprochen.	B1 B1-U02 B1-U02-L2
Do you know this student? (friend)	Kennst du diesen Studenten?	B1 B1-U02 B1-U02-L2
I help my neighbour.	Ich helfe meinem Nachbarn.	B1 B1-U02 B1-U02-L2
We've known each other since school.	Wir kennen uns seit der Schule.	B1 B1-U02 B1-U02-L2
We correct each other.	Wir korrigieren uns gegenseitig.	B1 B1-U02 B1-U02-L2
to trust someone / the trust	jemandem vertrauen / das Vertrauen	B1 B1-U02 B1-U02-L2
to raise (a topic)	etwas ansprechen	B1 B1-U02 B1-U02-L2
Nobody likes contradicting her.	Niemand widerspricht ihr gern.	B1 B1-U02 B1-U02-L2
with the new colleague	mit dem neuen Kollegen	B1 B1-U02 B1-U02-L3
in a small town	in einer kleinen Stadt	B1 B1-U02 B1-U02-L3
after a long day	nach einem langen Tag	B1 B1-U02 B1-U02-L3
with the other children	mit den anderen Kindern	B1 B1-U02 B1-U02-L3
I like drinking black coffee.	Ich trinke gern schwarzen Kaffee.	B1 B1-U02 B1-U02-L3
Fresh bread tastes best.	Frisches Brot schmeckt am besten.	B1 B1-U02 B1-U02-L3
She has long dark hair.	Sie hat lange dunkle Haare.	B1 B1-U02 B1-U02-L3
It's a thing you open bottles with.	Das ist ein Ding, mit dem man Flaschen aufmacht.	B1 B1-U02 B1-U02-L3
It's a device you find in every living room.	Das ist ein Gerät, das man in jedem Wohnzimmer findet.	B1 B1-U02 B1-U02-L3
I can't think of the word right now.	Mir fällt das Wort gerade nicht ein.	B1 B1-U02 B1-U02-L3
It's a bit like …, but smaller.	Das ist so ähnlich wie …, aber kleiner.	B1 B1-U02 B1-U02-L3
made of wood / metal / plastic	aus Holz / Metall / Plastik	B1 B1-U02 B1-U02-L3
How do you say that in German?	Wie sagt man das auf Deutsch?	B1 B1-U02 B1-U02-L3
someone you can also cook with	jemand, mit dem man auch mal zusammen kocht	B1 B1-U02 B1-U02-L4
She's someone who knows exactly what she wants.	Sie ist eine Frau, die genau weiß, was sie will.	B1 B1-U02 B1-U02-L4
a person who's hard to contradict	ein Mensch, dem man schwer widerspricht	B1 B1-U02 B1-U02-L4
You always know where you stand.	Man weiß immer, woran man ist.	B1 B1-U02 B1-U02-L4
tidy / chaotic	ordentlich / chaotisch	B1 B1-U02 B1-U02-L4
someone you can rely on	jemand, auf den man sich verlassen kann	B1 B1-U02 B1-U02-L4
to lead (a team)	leiten	B1 B1-U02 B1-U02-L4
the application / the covering letter	die Bewerbung / das Anschreiben	B1 B1-U03
the CV / the job interview	der Lebenslauf / das Vorstellungsgespräch	B1 B1-U03
the rejection / the acceptance	die Absage / die Zusage	B1 B1-U03
the strength / the weakness	die Stärke / die Schwäche	B1 B1-U03
to take on responsibility	Verantwortung übernehmen	B1 B1-U03
to look after regular customers	Stammkunden betreuen	B1 B1-U03
the department / the field	die Abteilung / der Bereich	B1 B1-U03
the trade fair	die Messe	B1 B1-U03
the deadline	die Frist	B1 B1-U03
I'm planning to apply next year.	Ich habe vor, mich nächstes Jahr zu bewerben.	B1 B1-U03 B1-U03-L1
She's decided to reduce her hours.	Sie hat beschlossen, ihre Stunden zu reduzieren.	B1 B1-U03 B1-U03-L1
I find it hard to say no.	Es fällt mir schwer, Nein zu sagen.	B1 B1-U03 B1-U03-L1
It's important to me to …	Es ist mir wichtig, … zu …	B1 B1-U03 B1-U03-L1
My boss recommended that I do a course.	Mein Chef hat mir empfohlen, einen Kurs zu machen.	B1 B1-U03 B1-U03-L1
I've stopped smoking.	Ich habe aufgehört zu rauchen.	B1 B1-U03 B1-U03-L1
I forgot to call him back.	Ich habe vergessen, ihn zurückzurufen.	B1 B1-U03 B1-U03-L1
I'm trying to do further training.	Ich versuche, mich weiterzubilden.	B1 B1-U03 B1-U03-L1
I hope my boss understands that.	Ich hoffe, dass mein Chef das versteht.	B1 B1-U03 B1-U03-L1
I have to work longer today.	Ich muss heute länger arbeiten.	B1 B1-U03 B1-U03-L1
to hand in your notice / to change jobs	kündigen / die Stelle wechseln	B1 B1-U03 B1-U03-L1
the application / the rejection	die Bewerbung / die Absage	B1 B1-U03 B1-U03-L1
to admit something	etwas zugeben	B1 B1-U03 B1-U03-L1
I get up earlier to have breakfast in peace.	Ich stehe früher auf, um in Ruhe zu frühstücken.	B1 B1-U03 B1-U03-L2
I'm learning German in order to work here.	Ich lerne Deutsch, um hier zu arbeiten.	B1 B1-U03 B1-U03-L2
She did the course so that she could apply.	Sie hat den Kurs gemacht, um sich bewerben zu können.	B1 B1-U03 B1-U03-L2
I write everything down so I don't forget anything.	Ich schreibe alles auf, damit ich nichts vergesse.	B1 B1-U03 B1-U03-L2
I'm sending you the file so you can check it.	Ich schicke dir die Datei, damit du sie prüfen kannst.	B1 B1-U03 B1-U03-L2
What do you need that for? – For work.	Wozu brauchst du das? – Zum Arbeiten.	B1 B1-U03 B1-U03-L2
I'm calling to make an appointment.	Ich rufe an, um einen Termin zu vereinbaren.	B1 B1-U03 B1-U03-L2
My goal is to …	Mein Ziel ist es, … zu …	B1 B1-U03 B1-U03-L2
the field, area	der Bereich	B1 B1-U03 B1-U03-L2
clear arrangements	klare Absprachen	B1 B1-U03 B1-U03-L2
to expect	erwarten	B1 B1-U03 B1-U03-L2
to develop further (oneself)	sich weiterentwickeln	B1 B1-U03 B1-U03-L2
I'm looking forward to working in a team.	Ich freue mich darauf, im Team zu arbeiten.	B1 B1-U03 B1-U03-L3
I'm interested in taking on more responsibility.	Ich interessiere mich dafür, mehr Verantwortung zu übernehmen.	B1 B1-U03 B1-U03-L3
I'm working on delegating better.	Ich arbeite daran, besser abzugeben.	B1 B1-U03 B1-U03-L3
I tend to do too much myself.	Ich neige dazu, zu viel selbst zu machen.	B1 B1-U03 B1-U03-L3
We're waiting for the company to answer.	Wir warten darauf, dass die Firma antwortet.	B1 B1-U03 B1-U03-L3
I'm good at dealing with difficult conversations.	Ich kann gut mit schwierigen Gesprächen umgehen.	B1 B1-U03 B1-U03-L3
May I ask how …? (formal)	Darf ich fragen, wie …?	B1 B1-U03 B1-U03-L3
Did I understand you correctly that …?	Habe ich Sie richtig verstanden, dass …?	B1 B1-U03 B1-U03-L3
What do you value in the team?	Worauf legen Sie im Team Wert?	B1 B1-U03 B1-U03-L3
the job interview / the CV	das Vorstellungsgespräch / der Lebenslauf	B1 B1-U03 B1-U03-L3
responsibility / to take on	die Verantwortung / übernehmen	B1 B1-U03 B1-U03-L3
to delegate tasks	Aufgaben abgeben	B1 B1-U03 B1-U03-L3
to train apprentices	Azubis ausbilden	B1 B1-U03 B1-U03-L3
my salary expectation	meine Gehaltsvorstellung	B1 B1-U03 B1-U03-L3
gross / net	brutto / netto	B1 B1-U03 B1-U03-L3
I look forward to your reply.	Ich freue mich auf Ihre Rückmeldung.	B1 B1-U03 B1-U03-L3
I'm applying because …	Ich bewerbe mich, weil …	B1 B1-U03 B1-U03-L4
I reduced the complaints by a third.	Ich habe die Beschwerden um ein Drittel gesenkt.	B1 B1-U03 B1-U03-L4
to prepare quotes	Angebote erstellen	B1 B1-U03 B1-U03-L4
to deal with complaints	Reklamationen bearbeiten	B1 B1-U03 B1-U03-L4
I was on the shortlist.	Ich war in der engeren Auswahl.	B1 B1-U03 B1-U03-L4
Thank you for the feedback.	Vielen Dank für Ihr Feedback.	B1 B1-U03 B1-U03-L4
I'll take that on board.	Das nehme ich mit.	B1 B1-U03 B1-U03-L4
stress / stressed	der Stress / gestresst	B1 B1-U04
irritable / exhausted	gereizt / erschöpft	B1 B1-U04
to wind down	zur Ruhe kommen	B1 B1-U04
to switch off (mentally)	abschalten	B1 B1-U04
wellbeing	das Wohlbefinden	B1 B1-U04
the balance (counterweight)	der Ausgleich	B1 B1-U04
to set priorities	Prioritäten setzen	B1 B1-U04
to regret	bereuen	B1 B1-U04
looking back	rückblickend	B1 B1-U04
If I had more time, I'd sleep more.	Wenn ich mehr Zeit hätte, würde ich mehr schlafen.	B1 B1-U04 B1-U04-L1
If I were you, I'd talk to her.	Wenn ich du wäre, würde ich mit ihr reden.	B1 B1-U04 B1-U04-L1
I wish it were the weekend already.	Ich wünschte, es wäre schon Wochenende.	B1 B1-U04 B1-U04-L1
If only I had more time!	Wenn ich nur mehr Zeit hätte!	B1 B1-U04 B1-U04-L1
Might I disturb you briefly? (formal)	Dürfte ich Sie kurz stören?	B1 B1-U04 B1-U04-L1
Would it be possible to …?	Wäre es möglich, … zu …?	B1 B1-U04 B1-U04-L1
You should sleep more. (friend)	Du solltest mehr schlafen.	B1 B1-U04 B1-U04-L1
I ought to do more sport.	Ich müsste mehr Sport machen.	B1 B1-U04 B1-U04-L1
I'd need a bit more time. (spoken)	Ich bräuchte etwas mehr Zeit.	B1 B1-U04 B1-U04-L1
on the other hand	andererseits	B1 B1-U04 B1-U04-L1
in reality	in Wirklichkeit	B1 B1-U04 B1-U04-L1
the advantage / the disadvantage	der Vorteil / der Nachteil	B1 B1-U04 B1-U04-L1
to look after yourself	auf sich achten	B1 B1-U04 B1-U04-L1
I should have asked earlier.	Ich hätte früher fragen sollen.	B1 B1-U04 B1-U04-L2
I'd have done that differently.	Das hätte ich anders gemacht.	B1 B1-U04 B1-U04-L2
You could have told me. (friend)	Du hättest mir das sagen können.	B1 B1-U04 B1-U04-L2
If I'd known that, I wouldn't have come.	Wenn ich das gewusst hätte, wäre ich nicht gekommen.	B1 B1-U04 B1-U04-L2
We needn't have waited so long.	Wir hätten nicht so lange warten müssen.	B1 B1-U04 B1-U04-L2
I almost missed the train.	Beinahe hätte ich den Zug verpasst.	B1 B1-U04 B1-U04-L2
You couldn't have known that. (friend)	Das hättest du nicht wissen können.	B1 B1-U04 B1-U04-L2
Looking back, I'd have stayed.	Rückblickend wäre ich geblieben.	B1 B1-U04 B1-U04-L2
hindsight is a wonderful thing	Hinterher ist man immer klüger.	B1 B1-U04 B1-U04-L2
the other way round	umgekehrt	B1 B1-U04 B1-U04-L2
to put off (a decision)	aufschieben	B1 B1-U04 B1-U04-L2
the pay rise	die Gehaltserhöhung	B1 B1-U04 B1-U04-L2
I can hardly wind down.	Ich komme kaum zur Ruhe.	B1 B1-U04 B1-U04-L3
I have trouble getting to sleep.	Ich schlafe schlecht ein.	B1 B1-U04 B1-U04-L3
I'm constantly irritable.	Ich bin ständig gereizt.	B1 B1-U04 B1-U04-L3
I'm under a lot of pressure.	Ich stehe sehr unter Druck.	B1 B1-U04 B1-U04-L3
Maybe you should take a day off.	Vielleicht solltest du einen Tag frei nehmen.	B1 B1-U04 B1-U04-L3
It would be good if you took breaks.	Es wäre gut, wenn du Pausen einbauen würdest.	B1 B1-U04 B1-U04-L3
Have you ever tried that? (friend)	Hast du das schon mal probiert?	B1 B1-U04 B1-U04-L3
I've tried that, but it didn't help.	Das habe ich schon probiert, aber es hat nichts gebracht.	B1 B1-U04 B1-U04-L3
to switch off (mentally) / to relax	abschalten / sich entspannen	B1 B1-U04 B1-U04-L3
to take it easier	kürzertreten	B1 B1-U04 B1-U04-L3
exhausted / stressed	erschöpft / gestresst	B1 B1-U04 B1-U04-L3
I fall asleep badly and wake up at night.	Ich schlafe schlecht ein und wache nachts auf.	B1 B1-U04 B1-U04-L3
the worry / the time pressure	die Sorge / der Termindruck	B1 B1-U04 B1-U04-L3
The effect lasts two to four weeks on average.	Die Wirkung hält im Durchschnitt zwei bis vier Wochen.	B1 B1-U04 B1-U04-L4
I can't afford that.	Das kann ich mir nicht leisten.	B1 B1-U04 B1-U04-L4
I had a guilty conscience.	Ich hatte ein schlechtes Gewissen.	B1 B1-U04 B1-U04-L4
I should have learned to say no earlier.	Ich hätte früher lernen sollen, Nein zu sagen.	B1 B1-U04 B1-U04-L4
to endure something	etwas aushalten	B1 B1-U04 B1-U04-L4
room for manoeuvre	der Spielraum	B1 B1-U04 B1-U04-L4
deliberately	bewusst	B1 B1-U04 B1-U04-L4
I wake up at night and can't get back to sleep.	Ich wache nachts auf und schlafe nicht wieder ein.	B1 B1-U04 B1-U04-L4
I find it hard to fall asleep.	Das Einschlafen fällt mir schwer.	B1 B1-U04 B1-U04-L4
I woke up at four and couldn't fall asleep again.	Ich bin um vier aufgewacht und konnte nicht wieder einschlafen.	B1 B1-U04 B1-U04-L4
worries and time pressure	Sorgen und Termindruck	B1 B1-U04 B1-U04-L4
because of / despite / during (+ genitive)	wegen / trotz / während	B1 B1-U05
within a week	innerhalb einer Woche	B1 B1-U05
the area / the region	die Gegend / die Region	B1 B1-U05
the exception / the cliché	die Ausnahme / das Klischee	B1 B1-U05
the complaint	die Beschwerde	B1 B1-U05
the compensation	die Entschädigung	B1 B1-U05
to refund / to inform	erstatten / mitteilen	B1 B1-U05
factual / appropriate	sachlich / angemessen	B1 B1-U05
because of the weather	wegen des Wetters	B1 B1-U05 B1-U05-L1
despite the rain	trotz des Regens	B1 B1-U05 B1-U05-L1
during the holidays	während der Ferien	B1 B1-U05 B1-U05-L1
instead of the bus	statt des Busses	B1 B1-U05 B1-U05-L1
outside the city	außerhalb der Stadt	B1 B1-U05 B1-U05-L1
due to technical problems	aufgrund technischer Probleme	B1 B1-U05 B1-U05-L1
my grandparents' house	das Haus meiner Großeltern	B1 B1-U05 B1-U05-L1
the title of the film	der Titel des Films	B1 B1-U05 B1-U05-L1
the colleague whose wife works here	der Kollege, dessen Frau hier arbeitet	B1 B1-U05 B1-U05-L1
the neighbour whose dog barks	die Nachbarin, deren Hund bellt	B1 B1-U05 B1-U05-L1
the area / the landscape	die Gegend / die Landschaft	B1 B1-U05 B1-U05-L1
the sight, the attraction	die Sehenswürdigkeit	B1 B1-U05 B1-U05-L1
the sights of the city	die Sehenswürdigkeiten der Stadt	B1 B1-U05 B1-U05-L1
It was worth it.	Es hat sich gelohnt.	B1 B1-U05 B1-U05-L1
either in May or in September	entweder im Mai oder im September	B1 B1-U05 B1-U05-L2
I speak neither French nor Spanish.	Ich spreche weder Französisch noch Spanisch.	B1 B1-U05 B1-U05-L2
both cheap and beautiful	sowohl günstig als auch schön	B1 B1-U05 B1-U05-L2
not only the food but also the people	nicht nur das Essen, sondern auch die Leute	B1 B1-U05 B1-U05-L2
The longer I live here, the better I understand it.	Je länger ich hier lebe, desto besser verstehe ich das.	B1 B1-U05 B1-U05-L2
The earlier you book, the cheaper it is.	Je früher man bucht, desto günstiger ist es.	B1 B1-U05 B1-U05-L2
It's expensive, but you always find work.	Zwar ist es teuer, aber man findet immer Arbeit.	B1 B1-U05 B1-U05-L2
on the one hand … on the other hand	einerseits … andererseits	B1 B1-U05 B1-U05-L2
That depends.	Das kommt darauf an.	B1 B1-U05 B1-U05-L2
Of course there are exceptions.	Natürlich gibt es Ausnahmen.	B1 B1-U05 B1-U05-L2
I noticed that …	Mir ist aufgefallen, dass …	B1 B1-U05 B1-U05-L2
the habit / the mentality	die Gewohnheit / die Mentalität	B1 B1-U05 B1-U05-L2
to generalise	verallgemeinern	B1 B1-U05 B1-U05-L2
Unfortunately I have to complain about …	Leider muss ich mich über … beschweren.	B1 B1-U05 B1-U05-L3
I'm referring to my booking of 3 May.	Ich beziehe mich auf meine Buchung vom 3. Mai.	B1 B1-U05 B1-U05-L3
The room hadn't been cleaned on arrival.	Das Zimmer war bei der Ankunft nicht gereinigt.	B1 B1-U05 B1-U05-L3
Since I couldn't use the room, …	Da ich das Zimmer nicht nutzen konnte, …	B1 B1-U05 B1-U05-L3
I'm asking you to refund 40 %.	Ich bitte Sie, mir 40 Prozent zu erstatten.	B1 B1-U05 B1-U05-L3
I'd be grateful if you replied by 30 May.	Ich wäre Ihnen dankbar, wenn Sie mir bis zum 30. Mai antworten würden.	B1 B1-U05 B1-U05-L3
I haven't had a reply so far.	Bisher habe ich keine Antwort erhalten.	B1 B1-U05 B1-U05-L3
By when can I expect an answer?	Bis wann kann ich mit einer Antwort rechnen?	B1 B1-U05 B1-U05-L3
the complaint / the deadline	die Beschwerde / die Frist	B1 B1-U05 B1-U05-L3
Please inform me of your decision.	Bitte teilen Sie mir Ihre Entscheidung mit.	B1 B1-U05 B1-U05-L3
The change was not announced.	Die Änderung wurde nicht angekündigt.	B1 B1-U05 B1-U05-L3
the compensation / the amount	die Entschädigung / der Betrag	B1 B1-U05 B1-U05-L3
Yours sincerely	Mit freundlichen Grüßen	B1 B1-U05 B1-U05-L3
contrary to the description	entgegen der Beschreibung	B1 B1-U05 B1-U05-L4
Two essential services were not provided.	Zwei wesentliche Leistungen wurden nicht erbracht.	B1 B1-U05 B1-U05-L4
the quality of life of the residents	die Lebensqualität der Bewohner	B1 B1-U05 B1-U05-L4
The rents rise faster than the wages.	Die Mieten steigen schneller als die Löhne.	B1 B1-U05 B1-U05-L4
an upper limit for visitors	eine Obergrenze für Besucher	B1 B1-U05 B1-U05-L4
the off-season	die Nebensaison	B1 B1-U05 B1-U05-L4
Housing has become scarce.	Wohnraum ist knapp geworden.	B1 B1-U05 B1-U05-L4
the source / the headline	die Quelle / die Schlagzeile	B1 B1-U06
the editorial office / the meeting	die Redaktion / die Sitzung	B1 B1-U06
to research / to publish	recherchieren / veröffentlichen	B1 B1-U06
to verify / to confirm	überprüfen / bestätigen	B1 B1-U06
to spread / to forward	verbreiten / weiterleiten	B1 B1-U06
the false report / credible	die Falschmeldung / glaubwürdig	B1 B1-U06
independent / reputable	unabhängig / seriös	B1 B1-U06
responsible for	zuständig für	B1 B1-U06
the process, the sequence	der Ablauf	B1 B1-U06
the responsibility	die Verantwortung	B1 B1-U06
The bread is baked fresh every morning.	Das Brot wird jeden Morgen frisch gebacken.	B1 B1-U06 B1-U06-L1
The forms are filled in online.	Die Formulare werden online ausgefüllt.	B1 B1-U06 B1-U06-L1
The source is checked first.	Die Quelle wird zuerst geprüft.	B1 B1-U06 B1-U06-L1
The article was published yesterday.	Der Artikel wurde gestern veröffentlicht.	B1 B1-U06 B1-U06-L1
The text was corrected by a colleague.	Der Text wurde von einer Kollegin korrigiert.	B1 B1-U06 B1-U06-L1
No work is done here on Sundays.	Hier wird sonntags nicht gearbeitet.	B1 B1-U06 B1-U06-L1
First the application is submitted.	Zuerst wird der Antrag eingereicht.	B1 B1-U06 B1-U06-L1
The headline is written last.	Die Überschrift wird zuletzt formuliert.	B1 B1-U06 B1-U06-L1
the source / reliable	die Quelle / verlässlich	B1 B1-U06 B1-U06-L1
the editorial office	die Redaktion	B1 B1-U06 B1-U06-L1
to research / to confirm	recherchieren / bestätigen	B1 B1-U06 B1-U06-L1
to publish / to shorten	veröffentlichen / kürzen	B1 B1-U06 B1-U06-L1
That has to be done today.	Das muss heute noch erledigt werden.	B1 B1-U06 B1-U06-L2
The figures have to be checked again.	Die Zahlen müssen noch einmal überprüft werden.	B1 B1-U06 B1-U06-L2
The appointments can be changed online.	Die Termine können online geändert werden.	B1 B1-U06 B1-U06-L2
Smoking isn't allowed here.	Hier darf nicht geraucht werden.	B1 B1-U06 B1-U06-L2
That doesn't have to be done today.	Das muss heute nicht gemacht werden.	B1 B1-U06 B1-U06-L2
I know that the text still has to be shortened.	Ich weiß, dass der Text noch gekürzt werden muss.	B1 B1-U06 B1-U06-L2
The shop has been closed since yesterday.	Der Laden ist seit gestern geschlossen.	B1 B1-U06 B1-U06-L2
Who's responsible for that?	Wer ist dafür zuständig?	B1 B1-U06 B1-U06-L2
I'll take that on. / I'll see to it.	Das übernehme ich. / Darum kümmere ich mich.	B1 B1-U06 B1-U06-L2
to get done / to check, verify	erledigen / überprüfen	B1 B1-U06 B1-U06-L2
to swap, replace / to design	austauschen / gestalten	B1 B1-U06 B1-U06-L2
the contribution, the article	der Beitrag	B1 B1-U06 B1-U06-L2
the meeting / the task	die Sitzung / die Aufgabe	B1 B1-U06 B1-U06-L2
One advantage is that you're informed quickly.	Ein Vorteil ist, dass man schnell informiert ist.	B1 B1-U06 B1-U06-L3
An argument against is that a lot isn't checked.	Dagegen spricht, dass vieles nicht überprüft wird.	B1 B1-U06 B1-U06-L3
On the one hand …, on the other hand …	Einerseits …, andererseits …	B1 B1-U06 B1-U06-L3
That depends on how you use it.	Das kommt darauf an, wie man es benutzt.	B1 B1-U06 B1-U06-L3
You're right there, though …	Da haben Sie recht, allerdings …	B1 B1-U06 B1-U06-L3
I disagree, because …	Da bin ich anderer Meinung, weil …	B1 B1-U06 B1-U06-L3
In the end the advantages outweigh, for me.	Letztlich überwiegen für mich die Vorteile.	B1 B1-U06 B1-U06-L3
All in all I'm in favour / against.	Alles in allem bin ich dafür / dagegen.	B1 B1-U06 B1-U06-L3
