#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
I've never seen a musical.	Ich habe noch nie ein Musical gesehen.	A2 A2-U01 A2-U01-L3
I lost my phone.	Ich habe mein Handy verloren.	A2 A2-U01 A2-U01-L3
I forgot the time.	Ich habe die Zeit vergessen.	A2 A2-U01 A2-U01-L3
I got it back.	Ich habe es zurückbekommen.	A2 A2-U01 A2-U01-L3
We visited a cooking class.	Wir haben einen Kochkurs besucht.	A2 A2-U01 A2-U01-L3
Did you try the food? (friend)	Hast du das Essen probiert?	A2 A2-U01 A2-U01-L3
I was lucky.	Ich hatte Glück.	A2 A2-U01 A2-U01-L3
Luckily … / Suddenly …	Zum Glück … / Plötzlich …	A2 A2-U01 A2-U01-L3
When was that? / Who with?	Wann war das? / Mit wem?	A2 A2-U01 A2-U01-L3
Perfekt: telefonieren / erzählen / verstehen	hat telefoniert / hat erzählt / hat verstanden	A2 A2-U01 A2-U01-L3
That's crazy!	Das ist ja verrückt!	A2 A2-U01 A2-U01-L3
Where did you go on Friday evening? (friend)	Wohin bist du am Freitagabend gegangen?	A2 A2-U01 A2-U01-L4
Who were you there with? (friend)	Mit wem warst du da?	A2 A2-U01 A2-U01-L4
When did you get home? (friend)	Wann bist du nach Hause gekommen?	A2 A2-U01 A2-U01-L4
We couldn't find the way.	Wir haben den Weg nicht gefunden.	A2 A2-U01 A2-U01-L4
It was tiring but fun.	Es war anstrengend, aber lustig.	A2 A2-U01 A2-U01-L4
We visited the castle. (sights)	Wir haben das Schloss besichtigt.	A2 A2-U01 A2-U01-L4
How was your weekend? (formal)	Wie war Ihr Wochenende?	A2 A2-U01 A2-U01-L4
What did you do? (formal)	Was haben Sie gemacht?	A2 A2-U01 A2-U01-L4
colleague (m / f, + plural)	der Kollege – die Kollegen / die Kollegin – die Kolleginnen	A2 A2-U02
the colour (+ plural)	die Farbe – die Farben	A2 A2-U02
the flower (+ plural)	die Blume – die Blumen	A2 A2-U02
the wedding	die Hochzeit	A2 A2-U02
to live together with	zusammen wohnen mit	A2 A2-U02
That goes well with her.	Das passt zu ihr.	A2 A2-U02
What do you think? (friend)	Was meinst du?	A2 A2-U02
Does this suit me?	Steht mir das?	A2 A2-U02
Who do you live with? (friend)	Mit wem wohnst du zusammen?	A2 A2-U02 A2-U02-L1
I live with my girlfriend.	Ich wohne mit meiner Freundin zusammen.	A2 A2-U02 A2-U02-L1
I was at my parents'.	Ich war bei meinen Eltern.	A2 A2-U02 A2-U02-L1
I got it from my uncle.	Ich habe es von meinem Onkel bekommen.	A2 A2-U02 A2-U02-L1
I talk on the phone with her every week.	Ich telefoniere jede Woche mit ihr.	A2 A2-U02 A2-U02-L1
dative: ich / du / er / sie	mir / dir / ihm / ihr	A2 A2-U02 A2-U02-L1
dative: wir / ihr / sie / Sie	uns / euch / ihnen / Ihnen	A2 A2-U02 A2-U02-L1
dative: der / das / die / die (pl.)	dem / dem / der / den (+n)	A2 A2-U02 A2-U02-L1
with the children	mit den Kindern	A2 A2-U02 A2-U02-L1
She works at a bank.	Sie arbeitet bei einer Bank.	A2 A2-U02 A2-U02-L1
How are you? (formal)	Wie geht es Ihnen?	A2 A2-U02 A2-U02-L1
zum / zur / beim = ?	zu dem / zu der / bei dem	A2 A2-U02 A2-U02-L1
grandparents / uncle / aunt	die Großeltern / der Onkel / die Tante	A2 A2-U02 A2-U02-L1
nephew / niece	der Neffe / die Nichte	A2 A2-U02 A2-U02-L1
I like the jacket. (<i>gefallen</i>)	Die Jacke gefällt mir.	A2 A2-U02 A2-U02-L2
I like your shoes. (<i>gefallen</i>)	Deine Schuhe gefallen mir.	A2 A2-U02 A2-U02-L2
How did you like the film? (friend)	Wie hat dir der Film gefallen?	A2 A2-U02 A2-U02-L2
Does it taste good? (friend)	Schmeckt es dir?	A2 A2-U02 A2-U02-L2
Green suits you. (friend)	Grün steht dir.	A2 A2-U02 A2-U02-L2
The trousers don't fit me.	Die Hose passt mir nicht.	A2 A2-U02 A2-U02-L2
Is Friday OK for you? (friend)	Passt dir Freitag?	A2 A2-U02 A2-U02-L2
Whose is the key?	Wem gehört der Schlüssel?	A2 A2-U02 A2-U02-L2
I'm cold. / I'm bored.	Mir ist kalt. / Mir ist langweilig.	A2 A2-U02 A2-U02-L2
I don't mind.	Das ist mir egal.	A2 A2-U02 A2-U02-L2
That's too expensive for me.	Das ist mir zu teuer.	A2 A2-U02 A2-U02-L2
I'm sorry.	Es tut mir leid.	A2 A2-U02 A2-U02-L2
He doesn't answer me.	Er antwortet mir nicht.	A2 A2-U02 A2-U02-L2
Thank you! (formal)	Ich danke Ihnen!	A2 A2-U02 A2-U02-L2
What are you giving your mother? (friend)	Was schenkst du deiner Mutter?	A2 A2-U02 A2-U02-L3
I'm giving her a book.	Ich schenke ihr ein Buch.	A2 A2-U02 A2-U02-L3
I'm giving it to her. (<i>das Buch</i>)	Ich schenke es ihr.	A2 A2-U02 A2-U02-L3
I'll give it to him after lunch. (<i>der Gutschein</i>)	Ich gebe ihn ihm nach dem Mittagessen.	A2 A2-U02 A2-U02-L3
Can you lend me your bike? (friend)	Kannst du mir dein Fahrrad leihen?	A2 A2-U02 A2-U02-L3
Can you recommend something to me? (formal)	Können Sie mir etwas empfehlen?	A2 A2-U02 A2-U02-L3
I've already shown her the photos.	Ich habe ihr die Fotos schon gezeigt.	A2 A2-U02 A2-U02-L3
Could you gift-wrap it for me? (formal)	Können Sie es mir als Geschenk einpacken?	A2 A2-U02 A2-U02-L3
Happy birthday!	Herzlichen Glückwunsch zum Geburtstag!	A2 A2-U02 A2-U02-L3
I wish you all the best. (friend)	Ich wünsche dir alles Gute.	A2 A2-U02 A2-U02-L3
Congratulations on your wedding!	Herzlichen Glückwunsch zur Hochzeit!	A2 A2-U02 A2-U02-L3
Good luck! / Get well soon!	Viel Glück! / Gute Besserung!	A2 A2-U02 A2-U02-L3
the present / the voucher (+ plural)	das Geschenk – die Geschenke / der Gutschein – die Gutscheine	A2 A2-U02 A2-U02-L3
for him (with <i>für</i>)	für ihn	A2 A2-U02 A2-U02-L3
That suits her. / She'll definitely like it.	Das passt zu ihr. / Das gefällt ihr bestimmt.	A2 A2-U02 A2-U02-L4
We're giving her a voucher.	Wir schenken ihr einen Gutschein.	A2 A2-U02 A2-U02-L4
Hm, I don't know …	Hm, ich weiß nicht …	A2 A2-U02 A2-U02-L4
Grandma is turning 80.	Oma wird achtzig.	A2 A2-U02 A2-U02-L4
Can you send me your photos? (friend)	Kannst du mir deine Fotos schicken?	A2 A2-U02 A2-U02-L4
He hasn't answered me.	Er hat mir nicht geantwortet.	A2 A2-U02 A2-U02-L4
Thanks a lot for the jacket!	Vielen Dank für die Jacke!	A2 A2-U02 A2-U02-L4
living room / bedroom / bathroom	das Wohnzimmer / das Schlafzimmer / das Bad	A2 A2-U03
lamp / mirror / picture (with article)	die Lampe / der Spiegel / das Bild	A2 A2-U03
the move (house)	der Umzug	A2 A2-U03
to move to Berlin	nach Berlin ziehen	A2 A2-U03
rent / bills	die Miete / die Nebenkosten	A2 A2-U03
lift	der Aufzug	A2 A2-U03
bright, quiet, cosy	hell, ruhig, gemütlich	A2 A2-U03
since when? / before that	seit wann? / vorher	A2 A2-U03
The picture is on the wall.	Das Bild hängt an der Wand.	A2 A2-U03 A2-U03-L1
The phone is on the sofa.	Das Handy liegt auf dem Sofa.	A2 A2-U03 A2-U03-L1
The desk is in front of the window.	Der Schreibtisch steht vor dem Fenster.	A2 A2-U03 A2-U03-L1
The rug is under the table.	Der Teppich liegt unter dem Tisch.	A2 A2-U03 A2-U03-L1
between the door and the window	zwischen der Tür und dem Fenster	A2 A2-U03 A2-U03-L1
at the window	am Fenster	A2 A2-U03 A2-U03-L1
I live on the second floor.	Ich wohne im zweiten Stock.	A2 A2-U03 A2-U03-L1
The cat is sitting on the chair.	Die Katze sitzt auf dem Stuhl.	A2 A2-U03 A2-U03-L1
Next to the kitchen is the bathroom.	Neben der Küche ist das Bad.	A2 A2-U03 A2-U03-L1
The flat is quiet and cosy.	Die Wohnung ist ruhig und gemütlich.	A2 A2-U03 A2-U03-L1
wardrobe / shelf / armchair (with article)	der Schrank / das Regal / der Sessel	A2 A2-U03 A2-U03-L1
wall / corner / floor (with article)	die Wand / die Ecke / der Boden	A2 A2-U03 A2-U03-L1
Put the sofa against the wall! (friends)	Stellt das Sofa an die Wand!	A2 A2-U03 A2-U03-L2
Put the rug under the table! (friend)	Leg den Teppich unter den Tisch!	A2 A2-U03 A2-U03-L2
Hang the picture above the sofa! (friend)	Häng das Bild über das Sofa!	A2 A2-U03 A2-U03-L2
Put the milk in the fridge, please! (friend)	Stell die Milch bitte in den Kühlschrank!	A2 A2-U03 A2-U03-L2
Where did you put my key?	Wohin hast du meinen Schlüssel gelegt?	A2 A2-U03 A2-U03-L2
I put it on the table. (der Schlüssel)	Ich habe ihn auf den Tisch gelegt.	A2 A2-U03 A2-U03-L2
The key was in my bag the whole time.	Der Schlüssel hat die ganze Zeit in meiner Tasche gelegen.	A2 A2-U03 A2-U03-L2
Sit down, please! (friend)	Setz dich bitte!	A2 A2-U03 A2-U03-L2
stellen / legen / hängen: Perfekt	hat gestellt / hat gelegt / hat gehängt	A2 A2-U03 A2-U03-L2
stehen / liegen / hängen / sitzen: Perfekt	hat gestanden / gelegen / gehangen / gesessen	A2 A2-U03 A2-U03-L2
I'm putting the phone in my pocket.	Ich stecke das Handy in die Tasche.	A2 A2-U03 A2-U03-L2
in das / an das = ?	ins / ans	A2 A2-U03 A2-U03-L2
I've been living here since May.	Ich wohne seit Mai hier.	A2 A2-U03 A2-U03-L3
I moved to Hamburg two years ago.	Ich bin vor zwei Jahren nach Hamburg gezogen.	A2 A2-U03 A2-U03-L3
Before that I lived at my parents'.	Vorher habe ich bei meinen Eltern gewohnt.	A2 A2-U03 A2-U03-L3
I'm going to my aunt's.	Ich gehe zu meiner Tante.	A2 A2-U03 A2-U03-L3
After work I go to the gym.	Nach der Arbeit gehe ich ins Fitnessstudio.	A2 A2-U03 A2-U03-L3
The flat is opposite the park.	Die Wohnung liegt gegenüber vom Park.	A2 A2-U03 A2-U03-L3
I'm calling about the flat.	Ich rufe wegen der Wohnung an.	A2 A2-U03 A2-U03-L3
Is the flat still available?	Ist die Wohnung noch frei?	A2 A2-U03 A2-U03-L3
How much are the bills?	Wie hoch sind die Nebenkosten?	A2 A2-U03 A2-U03-L3
When can I view the flat?	Wann kann ich die Wohnung besichtigen?	A2 A2-U03 A2-U03-L3
Are pets allowed?	Sind Haustiere erlaubt?	A2 A2-U03 A2-U03-L3
aus – bei – mit – nach – seit – von – zu	immer Dativ!	A2 A2-U03 A2-U03-L3
cold rent / deposit / furnished	die Kaltmiete / die Kaution / möbliert	A2 A2-U03 A2-U03-L3
Three friends helped me with the move.	Drei Freunde haben mir beim Umzug geholfen.	A2 A2-U03 A2-U03-L4
We carried the furniture up to the fourth floor.	Wir haben die Möbel in den vierten Stock getragen.	A2 A2-U03 A2-U03-L4
The heating doesn't work.	Die Heizung funktioniert nicht.	A2 A2-U03 A2-U03-L4
Come and visit me! (friend)	Komm mich doch besuchen!	A2 A2-U03 A2-U03-L4
You can sleep on the sofa. (friend)	Du kannst auf dem Sofa schlafen.	A2 A2-U03 A2-U03-L4
the furniture	die Möbel (Pl.)	A2 A2-U03 A2-U03-L4
healthy / unhealthy / delicious	gesund / ungesund / lecker	A2 A2-U04
vegetarian / vegan	vegetarisch / vegan	A2 A2-U04
the menu / the dish of the day	die Speisekarte / das Tagesgericht	A2 A2-U04
the canteen	die Kantine	A2 A2-U04
the opinion	die Meinung	A2 A2-U04
the tip (money)	das Trinkgeld	A2 A2-U04
spicy / sweet / salty	scharf / süß / salzig	A2 A2-U04
I don't eat meat because I'm vegetarian. (f)	Ich esse kein Fleisch, weil ich Vegetarierin bin.	A2 A2-U04 A2-U04-L1
…, because I have no time. (<i>weil</i>)	…, weil ich keine Zeit habe.	A2 A2-U04 A2-U04-L1
…, because I have no time. (<i>denn</i>)	…, denn ich habe keine Zeit.	A2 A2-U04 A2-U04-L1
…, because I have to work.	…, weil ich arbeiten muss.	A2 A2-U04 A2-U04-L1
…, because I get up late.	…, weil ich spät aufstehe.	A2 A2-U04 A2-U04-L1
…, because I ate too much.	…, weil ich zu viel gegessen habe.	A2 A2-U04 A2-U04-L1
Because I'm ill, I'm staying at home.	Weil ich krank bin, bleibe ich zu Hause.	A2 A2-U04 A2-U04-L1
Why? – Because …	Warum? – Weil …	A2 A2-U04 A2-U04-L1
I'm hungry. / I'm full.	Ich habe Hunger. / Ich bin satt.	A2 A2-U04 A2-U04-L1
I don't feel like cooking.	Ich habe keine Lust zu kochen.	A2 A2-U04 A2-U04-L1
I'm allergic to nuts.	Ich bin allergisch gegen Nüsse.	A2 A2-U04 A2-U04-L1
breakfast / lunch / dinner (with article)	das Frühstück / das Mittagessen / das Abendessen	A2 A2-U04 A2-U04-L1
I think (that) the food is too expensive.	Ich finde, dass das Essen zu teuer ist.	A2 A2-U04 A2-U04-L2
I believe he's not coming today.	Ich glaube, dass er heute nicht kommt.	A2 A2-U04 A2-U04-L2
My doctor says I have to drink more water.	Mein Arzt sagt, dass ich mehr Wasser trinken muss.	A2 A2-U04 A2-U04-L2
It's important that it tastes good.	Es ist wichtig, dass es gut schmeckt.	A2 A2-U04 A2-U04-L2
I've heard that the café is good.	Ich habe gehört, dass das Café gut ist.	A2 A2-U04 A2-U04-L2
Pity you can't come!	Schade, dass du nicht kommen kannst!	A2 A2-U04 A2-U04-L2
In my opinion that's too expensive.	Meiner Meinung nach ist das zu teuer.	A2 A2-U04 A2-U04-L2
You're right. / That's true.	Da hast du recht. / Das stimmt.	A2 A2-U04 A2-U04-L2
I see it differently.	Das sehe ich anders.	A2 A2-U04 A2-U04-L2
I agree.	Das sehe ich auch so.	A2 A2-U04 A2-U04-L2
Yes, but …	Ja, aber …	A2 A2-U04 A2-U04-L2
I think so.	Ich glaube schon.	A2 A2-U04 A2-U04-L2
Do you have a table for two?	Haben Sie noch einen Tisch für zwei?	A2 A2-U04 A2-U04-L3
What can you recommend?	Was können Sie empfehlen?	A2 A2-U04 A2-U04-L3
Is there garlic in it?	Ist da Knoblauch drin?	A2 A2-U04 A2-U04-L3
I'll have the risotto.	Ich nehme das Risotto.	A2 A2-U04 A2-U04-L3
without onions, please	ohne Zwiebeln, bitte	A2 A2-U04 A2-U04-L3
I can't tolerate lactose.	Ich vertrage keine Laktose.	A2 A2-U04 A2-U04-L3
Could I have some more bread?	Könnte ich noch etwas Brot haben?	A2 A2-U04 A2-U04-L3
Excuse me, I didn't order that.	Entschuldigung, das habe ich nicht bestellt.	A2 A2-U04 A2-U04-L3
The soup is cold, I'm afraid.	Die Suppe ist leider kalt.	A2 A2-U04 A2-U04-L3
Together or separately?	Zusammen oder getrennt?	A2 A2-U04 A2-U04-L3
(bill €21.50) Make it 24.	Machen Sie 24.	A2 A2-U04 A2-U04-L3
Keep the change.	Stimmt so.	A2 A2-U04 A2-U04-L3
starter / main course / dessert	die Vorspeise / das Hauptgericht / der Nachtisch	A2 A2-U04 A2-U04-L3
Is it worth cooking at home?	Lohnt es sich, zu Hause zu kochen?	A2 A2-U04 A2-U04-L4
You said (that) you'd go shopping.	Du hast gesagt, dass du einkaufst.	A2 A2-U04 A2-U04-L4
We need a plan.	Wir brauchen einen Plan.	A2 A2-U04 A2-U04-L4
Agreed!	Einverstanden!	A2 A2-U04 A2-U04-L4
to save money	Geld sparen	A2 A2-U04 A2-U04-L4
the choice (range)	die Auswahl	A2 A2-U04 A2-U04-L4
the body	der Körper	A2 A2-U05
back / tooth (with article)	der Rücken / der Zahn	A2 A2-U05
arm / finger (with article)	der Arm / der Finger	A2 A2-U05
a cough / a runny nose	der Husten / der Schnupfen	A2 A2-U05
the flu / a cold	die Grippe / die Erkältung	A2 A2-U05
the appointment	der Termin	A2 A2-U05
the waiting room	das Wartezimmer	A2 A2-U05
the tablet / the medicine	die Tablette / das Medikament	A2 A2-U05
without prescription	rezeptfrei	A2 A2-U05
My head hurts.	Mir tut der Kopf weh.	A2 A2-U05 A2-U05-L1
My feet hurt.	Mir tun die Füße weh.	A2 A2-U05 A2-U05-L1
I have a headache / stomach ache / sore throat.	Ich habe Kopfschmerzen / Bauchschmerzen / Halsschmerzen.	A2 A2-U05 A2-U05-L1
I have a temperature and a cough.	Ich habe Fieber und Husten.	A2 A2-U05 A2-U05-L1
I have a cold.	Ich bin erkältet. / Ich habe Schnupfen.	A2 A2-U05 A2-U05-L1
I feel sick. / I'm dizzy.	Mir ist schlecht. / Mir ist schwindlig.	A2 A2-U05 A2-U05-L1
I broke my arm.	Ich habe mir den Arm gebrochen.	A2 A2-U05 A2-U05-L1
He hurt his foot.	Er hat sich den Fuß verletzt.	A2 A2-U05 A2-U05-L1
I cut my finger.	Ich habe mir in den Finger geschnitten.	A2 A2-U05 A2-U05-L1
Wash your hands! (friend)	Wasch dir die Hände!	A2 A2-U05 A2-U05-L1
What's wrong?	Was ist los?	A2 A2-U05 A2-U05-L1
Get well soon!	Gute Besserung!	A2 A2-U05 A2-U05-L1
head / neck, throat / stomach (with article)	der Kopf / der Hals / der Bauch	A2 A2-U05 A2-U05-L1
leg / knee / hand (with article)	das Bein / das Knie / die Hand	A2 A2-U05 A2-U05-L1
I'd like an appointment.	Ich hätte gern einen Termin.	A2 A2-U05 A2-U05-L2
the health insurance card	die Versichertenkarte	A2 A2-U05 A2-U05-L2
What's the matter? (doctor, formal)	Was fehlt Ihnen?	A2 A2-U05 A2-U05-L2
How are you feeling? (friend)	Wie fühlst du dich?	A2 A2-U05 A2-U05-L2
I feel weak.	Ich fühle mich schlapp.	A2 A2-U05 A2-U05-L2
I've caught a cold.	Ich habe mich erkältet.	A2 A2-U05 A2-U05-L2
Rest! / Lie down! (friend)	Ruh dich aus! / Leg dich hin!	A2 A2-U05 A2-U05-L2
Sit down, please. (formal)	Setzen Sie sich, bitte.	A2 A2-U05 A2-U05-L2
Have you recovered well? (friend)	Hast du dich gut erholt?	A2 A2-U05 A2-U05-L2
What should I do?	Was soll ich machen?	A2 A2-U05 A2-U05-L2
I'm supposed to rest.	Ich soll mich ausruhen.	A2 A2-U05 A2-U05-L2
three times a day	dreimal täglich	A2 A2-U05 A2-U05-L2
the prescription	das Rezept	A2 A2-U05 A2-U05-L2
The doctor gives me a sick note.	Die Ärztin schreibt mich krank.	A2 A2-U05 A2-U05-L2
Could you give me a sick note, please?	Können Sie mich bitte krankschreiben?	A2 A2-U05 A2-U05-L2
I have to call in sick, I'm afraid.	Ich muss mich leider krankmelden.	A2 A2-U05 A2-U05-L3
I couldn't sleep.	Ich konnte nicht schlafen.	A2 A2-U05 A2-U05-L3
I had to go to the hospital.	Ich musste ins Krankenhaus.	A2 A2-U05 A2-U05-L3
I wanted to come, but …	Ich wollte kommen, aber …	A2 A2-U05 A2-U05-L3
As a child I wasn't allowed to …	Als Kind durfte ich nicht …	A2 A2-U05 A2-U05-L3
If it doesn't get better, …	Wenn es nicht besser wird, …	A2 A2-U05 A2-U05-L3
If you have a temperature, stay at home! (friend)	Wenn du Fieber hast, bleib zu Hause!	A2 A2-U05 A2-U05-L3
Do you have something for a headache?	Haben Sie etwas gegen Kopfschmerzen?	A2 A2-U05 A2-U05-L3
Do I need a prescription for it?	Brauche ich dafür ein Rezept?	A2 A2-U05 A2-U05-L3
It's available without prescription.	Das ist rezeptfrei.	A2 A2-U05 A2-U05-L3
How often should I take it?	Wie oft soll ich das nehmen?	A2 A2-U05 A2-U05-L3
twice a day	zweimal täglich	A2 A2-U05 A2-U05-L3
the sick note	die Krankmeldung	A2 A2-U05 A2-U05-L3
the pharmacy / the hospital	die Apotheke / das Krankenhaus	A2 A2-U05 A2-U05-L3
I fell over and hurt my wrist.	Ich bin hingefallen und habe mir das Handgelenk verletzt.	A2 A2-U05 A2-U05-L4
I had to go to A&E.	Ich musste in die Notaufnahme.	A2 A2-U05 A2-U05-L4
You infect your colleagues.	Du steckst deine Kollegen an.	A2 A2-U05 A2-U05-L4
at least two litres a day	mindestens zwei Liter am Tag	A2 A2-U05 A2-U05-L4
Be patient with yourself! (formal)	Haben Sie Geduld mit sich!	A2 A2-U05 A2-U05-L4
the medicine	das Medikament	A2 A2-U05 A2-U05-L4
the coat / the jacket	der Mantel / die Jacke	A2 A2-U06
the dress / the skirt	das Kleid / der Rock	A2 A2-U06
the boots / the trainers	die Stiefel / die Turnschuhe	A2 A2-U06
the size	die Größe	A2 A2-U06
tight / loose	eng / weit	A2 A2-U06
smart, stylish / ugly	schick / hässlich	A2 A2-U06
the voucher	der Gutschein	A2 A2-U06
the button / the zip	der Knopf / der Reißverschluss	A2 A2-U06
Do you need a bag?	Brauchen Sie eine Tüte?	A2 A2-U06
the black coat (subject)	der schwarze Mantel	A2 A2-U06 A2-U06-L1
I'll take the black coat.	Ich nehme den schwarzen Mantel.	A2 A2-U06 A2-U06-L1
the blue jacket / the white shirt	die blaue Jacke / das weiße Hemd	A2 A2-U06 A2-U06-L1
the brown shoes	die braunen Schuhe	A2 A2-U06 A2-U06-L1
The jacket is red.	Die Jacke ist rot.	A2 A2-U06 A2-U06-L1
Which jumper do you like? – This one.	Welcher Pullover gefällt dir? – Dieser.	A2 A2-U06 A2-U06-L1
Which coat are you taking? – The grey one.	Welchen Mantel nimmst du? – Den grauen.	A2 A2-U06 A2-U06-L1
The trousers are too long.	Die Hose ist zu lang.	A2 A2-U06 A2-U06-L1
Put on the white shirt! (friend)	Zieh das weiße Hemd an!	A2 A2-U06 A2-U06-L1
He's wearing a suit.	Er trägt einen Anzug.	A2 A2-U06 A2-U06-L1
I'm getting dressed.	Ich ziehe mich an.	A2 A2-U06 A2-U06-L1
comfortable / uncomfortable	bequem / unbequem	A2 A2-U06 A2-U06-L1
the suit / the tie	der Anzug / die Krawatte	A2 A2-U06 A2-U06-L1
the hat / the scarf / the glasses	die Mütze / der Schal / die Brille	A2 A2-U06 A2-U06-L1
a warm coat (subject)	ein warmer Mantel	A2 A2-U06 A2-U06-L2
I'm looking for a warm coat.	Ich suche einen warmen Mantel.	A2 A2-U06 A2-U06-L2
a nice shirt / a smart dress	ein schönes Hemd / ein schickes Kleid	A2 A2-U06 A2-U06-L2
I don't need any new shoes.	Ich brauche keine neuen Schuhe.	A2 A2-U06 A2-U06-L2
I'm just looking, thanks.	Ich schaue nur, danke.	A2 A2-U06 A2-U06-L2
Do you have this in M as well?	Haben Sie das auch in M?	A2 A2-U06 A2-U06-L2
Can I try it on?	Kann ich das anprobieren?	A2 A2-U06 A2-U06-L2
Where's the changing room?	Wo ist die Kabine?	A2 A2-U06 A2-U06-L2
It's too tight / too wide for me.	Das ist mir zu eng / zu weit.	A2 A2-U06 A2-U06-L2
It fits well. / It suits you.	Das passt gut. / Das steht dir.	A2 A2-U06 A2-U06-L2
I'll take it. (the coat)	Den nehme ich.	A2 A2-U06 A2-U06-L2
Are you paying cash or by card?	Zahlen Sie bar oder mit Karte?	A2 A2-U06 A2-U06-L2
It's reduced. / It's on offer.	Es ist reduziert. / Es ist im Angebot.	A2 A2-U06 A2-U06-L2
I'll think about it.	Ich überlege es mir noch.	A2 A2-U06 A2-U06-L2
I'd like to exchange this jacket.	Ich möchte diese Jacke gern umtauschen.	A2 A2-U06 A2-U06-L3
The zip is broken.	Der Reißverschluss ist kaputt.	A2 A2-U06 A2-U06-L3
There's a small stain here.	Hier ist ein kleiner Fleck.	A2 A2-U06 A2-U06-L3
There's a hole in it.	Da ist ein Loch.	A2 A2-U06 A2-U06-L3
the receipt	der Kassenbon	A2 A2-U06 A2-U06-L3
I'd like my money back.	Ich hätte gern mein Geld zurück.	A2 A2-U06 A2-U06-L3
